"Fmsy" "fnames" "M" "Umsy" "Bmsy" "wInf" "t0" "wMat" "aMat" "k"
"73" NA "BRMSPPWASG2" NA NA NA NA NA NA NA NA
"74" NA "BRMSPPWASG3" NA NA NA NA NA NA NA NA
"75" NA "BRNSHRIMPGM" NA NA NA NA NA NA NA NA
"76" 0.419 "BSBASSMATLC" 0.4 0.302738844 12892.3 2150 0.11 NA NA 0.27
"77" 0.7 "BSBASSSATL" 0.38 NA 5399 NA NA NA NA NA
"78" NA "BSKAT5YZSNE" NA NA NA 9000 NA NA NA NA
"79" NA "BSKATCANATL" NA NA NA 9000 NA NA NA NA
"80" NA "BSQLOBSTERCH" NA NA NA NA NA NA NA NA
"81" 0.2 "BTIPSHARATL" NA NA NA 77691.4092329936 -3.432 NA 7.5 0.16
"82" 0.08 "BTIPSHARGM" NA NA NA 40937.2646441675 -2.7 NA 4.8 0.19
"83" NA "BTSHRIMPNAUST" NA NA NA NA NA NA NA NA
"84" 0.81 "BUTTERGOMCHATT" NA NA NA 135 0.12 NA NA 0.8
"85" NA "BWHITCH" NA NA NA NA NA NA NA NA
"86" 0.18 "BWHITNEA" NA NA NA 415 NA NA NA NA
"87" NA "CABEZNCAL" NA 0.18 NA 7000 NA NA NA NA
"88" NA "CABEZORECOAST" 0.25 0.16 NA 7224.96136938099 -2.26 1555.05837675807 3.89 0.2
"89" NA "CABEZSCAL" NA 0.165 NA 7000 NA NA NA NA
"90" 0.161 "CALSCORPSCAL" 0.25 0.161 NA 397.5 -2 NA NA 0.13
"91" NA "CAPEICE" NA NA NA 26 NA NA NA NA
"92" NA "CAPENOR" NA NA NA 26 -0.68 NA NA 0.35
"93" NA "CATWASG1" NA NA NA NA NA NA NA NA
"94" NA "CATWASG3" NA NA NA NA NA NA NA NA
"95" 0.32 "CHAKESA" 0.47 NA NA 13732 -0.687 NA NA 0.049
"96" NA "CHERRCHVX" NA NA NA NA NA NA NA NA
"97" NA "CHILISPCOAST" 0.16 0.112 NA 770 NA NA NA 0.23
"98" 0.53 "CHMACKWA" NA NA NA NA NA NA NA NA
"99" NA "CHTRACCH" 0.23 NA NA 1715 NA NA 5 NA
"100" 0.138 "CMACKPCOAST" 0.5 0.183966305 NA 1450 -1.752 NA NA 0.342
"101" NA "CMACKPJPN" 0.4 NA NA NA NA NA NA NA
"102" NA "CMACKTSST" 0.4 NA NA NA NA NA NA NA
"103" 0.67 "CMACKWA" NA NA NA NA NA NA NA NA
"104" NA "COD2J3KL" NA 0.1 NA 48000 NA NA NA NA
"105" NA "COD3M" NA NA NA 48000 NA NA NA NA
"106" NA "COD3NO" NA NA NA 48000 NA NA NA NA
"107" NA "COD3Pn4RS" NA NA NA 48000 NA NA NA NA
"108" NA "COD3Ps" NA NA NA 48000 NA NA NA NA
"109" NA "COD4TVn" NA NA NA 48000 NA NA NA NA
"110" NA "COD4VsW" NA NA NA 48000 NA NA 3 NA
"111" NA "COD4X" NA NA NA 48000 NA NA NA 0.15
"112" 0.25 "CODBA2224" NA NA NA 48000 -0.1 NA NA 0.16
"113" 0.3 "CODBA2532" NA NA NA 48000 -0.1 NA NA 0.16
"114" 0.32 "CODFAPL" NA NA NA 48000 NA NA NA NA
"115" 0.18 "CODGB" NA NA NA 48000 NA NA NA 0.15
"116" 0.18 "CODGOM" NA NA NA 48000 NA NA NA 0.15
"117" NA "CODICE" NA NA NA 48000 NA NA NA NA
"118" 0.4 "CODIS" 0.2 NA NA 48000 NA NA NA NA
"119" NA "CODKAT" NA NA NA 48000 NA NA NA 0.216
"120" NA "CODNEAR" NA NA NA 48000 -0.33 NA NA 0.13
"121" 0.19 "CODNS" NA NA NA 48000 NA NA NA 0.216
"122" 0.19 "CODVIa" NA NA NA 48000 NA NA NA NA
"123" 0.4 "CODVIIek" NA NA NA NA NA NA NA NA
"124" NA "COWCODSCAL" 0.06 0.055 NA 6500 -0.194 NA NA 0.052
"125" NA "CRLOBSTERSA12" 0.11 NA NA NA NA NA NA NA
"126" NA "CRLOBSTERSA34" 0.11 NA NA NA NA NA NA NA
"127" NA "CRLOBSTERSA56" 0.11 NA NA NA NA NA NA NA
"128" NA "CRLOBSTERSA7" 0.11 NA NA NA NA NA NA NA
