"Fmsy" "fnames" "M" "Umsy" "Bmsy" "wInf" "t0" "wMat" "aMat" "k"
"339" NA "RPANDWASG2" NA NA NA NA NA NA NA NA
"340" 0.17 "RPORGYSATLC" 0.23 NA 4254 1471.97952 -1.5 NA NA 0.2
"341" NA "RROCKLOBSTERCRA1" NA NA NA NA NA NA NA NA
"342" NA "RROCKLOBSTERCRA2" NA NA NA NA NA NA NA NA
"343" NA "RROCKLOBSTERCRA3" NA NA NA NA NA NA NA NA
"344" NA "RROCKLOBSTERCRA4" NA NA NA NA NA NA NA NA
"345" NA "RROCKLOBSTERCRA5" NA NA NA NA NA NA NA NA
"346" NA "RROCKLOBSTERCRA7" NA NA NA NA NA NA NA NA
"347" NA "RROCKLOBSTERCRA8" NA NA NA NA NA NA NA NA
"348" NA "RROCKLOBSTERSAUSNZ" 0.1 NA NA NA NA NA NA NA
"349" NA "RROCKLOBSTERSAUSSZ" 0.1 NA NA NA NA NA NA NA
"350" 0.26 "RSARDINWA" NA NA 110021 NA NA NA NA NA
"351" 1.209748596 "RSHRMPMEDGSA12-16" 1.05 NA NA NA -0.2 NA NA 0.67
"352" NA "RSHRMPMEDGSA18" 0.98 NA NA NA -0.2 NA NA 0.6
"353" NA "RSKATMATLC" NA NA NA 87.5 NA NA NA NA
"354" 0.08 "RSNAPGM" NA NA NA 6098.00192 -0.1 NA NA 0.22
"355" 0.18 "RSNAPSATLC" 0.08 NA 13632 7338.70808 0 NA 1.87 0.24
"356" NA "RSOLEHSTR" 0.2 NA NA 1847 NA NA NA NA
"357" NA "RSQLOBSTERCH" NA NA NA NA NA NA NA NA
"358" NA "SAABALONESA" 0.15 NA NA 51.56198000576 0 NA NA 0.0186
"359" 0.106 "SABLEFEBSAIGA" 0.1 0.196688982 NA 8640 NA NA 6.5 NA
"360" NA "SABLEFPCAN" 0.06 0.11 NA 8640 NA NA NA NA
"361" NA "SABLEFPCOAST" 0.08 NA NA 8640 NA NA NA 0.335
"362" 0.1446 "SAILEATL" NA NA 14771.64247 NA NA NA NA NA
"363" 0.0431 "SAILWATL" NA NA 20709.1077 NA NA NA NA NA
"364" 0.28 "SARDINWA" NA NA 1157840 NA NA NA NA NA
"365" 0.16 "SARDMEDGSA16" NA NA 32527 98.00344 -1.8 NA NA 0.4
"366" NA "SARDMEDGSA17" 0.76 NA NA 86.15125 -0.5 NA NA 0.46
"367" NA "SARDMEDGSA7" NA NA NA 84.89664 -1.2 NA NA 0.31
"368" NA "SARDPCOAST" 0.4 NA NA 243 -2.01 NA NA 0.318
"369" NA "SARDPVIIIc-IXa" 0.33 NA NA 103.5 NA NA NA NA
"370" NA "SARDSA" 0.8 NA NA 108.8566317 -1.893 NA NA 0.511
"371" NA "SARDWAZAB" NA NA NA NA NA NA NA NA
"372" 0.25 "SARDWAZC" NA NA 3400129.412 NA NA NA NA NA
"373" NA "SAURNWPAC" 1.25 NA NA NA NA NA NA NA
"374" 0.015 "SBARSHARATL" 0.224 NA NA 44109.44 -3.8 NA 19 0.089
"375" NA "SBELLYROCKPCOAST" 0.26 NA NA 163.5 -1.9 NA 2 0.198
"376" NA "SBREAMCH" NA NA NA NA NA NA NA NA
"377" 0.094 "SBT" NA NA 515838.5217 130000 NA NA NA NA
"378" NA "SBWHITACIR" NA NA NA 425 NA NA NA NA
"379" NA "SBWHITARGS" 0.15 NA NA 1861.69411 -1.016 NA 3.3 0.218
"380" 0.48 "SCALL5ZMAB" 0.12 NA 96480 NA NA NA NA NA
"381" NA "SCALLGB" NA NA NA NA NA NA NA NA
"382" 0.54 "SCMPBP" 0.2 0.120540691 NA NA NA NA NA NA
"383" 0.51 "SCMPWHB" 0.2 0.116173913 NA NA NA NA NA NA
"384" 0.177 "SCUPNWATLC" 0.2 NA NA 1030 NA NA 2 0.2
"385" NA "SDOGATLC" 0.09 NA NA 4550 3.40 NA NA 0.09
"386" NA "SDOGBLKGSA29" 0.15 NA NA 38698.93 -1.3 NA NA 0.12
"387" NA "SEELNSSA1" NA NA NA 36 NA NA NA 1
"388" NA "SEELNSSA2" NA NA NA 36 NA NA NA 1
"389" NA "SEELNSSA3" NA NA NA 36 NA NA NA 1
"390" 0.309 "SFLOUNMATLC" 0.25 NA NA 6630.54848 NA NA NA 0.14
"391" NA "SFMAKONWPAC" NA NA NA 252900 NA NA NA NA
"392" NA "SHAKEGOMNGB" NA NA NA 1150 NA NA NA NA
"393" NA "SHAKESGBMATL" NA NA NA 1150 NA NA NA NA
"394" NA "SILVERFISHSE" 0.25 NA NA 1326.51 -0.65 NA 3 0.464
"395" 0.4637 "SKJCIO" NA 0.613667072 423830.4177 NA NA NA NA NA
"396" 0.89 "SKJCWPAC" NA 0.417991771 1692835.294 17250 NA NA NA NA
"397" 0.6368 "SKJEATL" NA NA 384090.0506 17250 NA NA NA NA
"398" 0.4894 "SKJWATL" NA NA 100051.1448 17250 NA NA NA NA
"399" NA "SMOOTHOREOBP" 0.06 0.07 6385.714286 1051.54048 -2.2 NA NA 0.06
"400" NA "SMOOTHOREOCR" 0.06 0.09 43300 1051.54048 -2.3 NA NA 0.06
"401" NA "SMOOTHOREOEPR" 0.06 0.08 5537.5 1051.54048 -2.3 NA NA 0.06
"402" 0.08 "SMOOTHOREOSLD" 0.06 0.035063503 NA 1051.54048 -2.3 NA NA 0.06
"403" NA "SMOOTHOREOWECR" 0.06 0.12 18158.33333 1025.03232 -2.2 NA NA 0.06
"404" NA "SMSHRMPMEDGSA17" 1 NA NA NA -0.011 NA NA 0.49
"405" NA "SNAPSAUSNSG" 0.05 NA NA 8048.76051608 0.8285 NA NA 0.144
"406" NA "SNAPSAUSSGSV" 0.05 NA NA 8048.76051608 0.8285 NA NA 0.144
"407" NA "SNAPSAUSSSG" 0.05 NA NA 8048.76051608 0.8285 NA NA 0.144
"408" 0.19 "SNOSESHARATL" NA NA NA 5158.49608 -0.84 NA NA 0.61
"409" NA "SNOWCRAB2J" NA NA NA NA NA NA NA NA
"410" NA "SNOWCRAB3K" NA NA NA NA NA NA NA NA
"411" NA "SNOWCRAB3NO" NA NA NA NA NA NA NA NA
"412" NA "SNOWCRAB3Ps" NA NA NA NA NA NA NA NA
"413" 1.58 "SNOWCRABBS" 0.18 NA NA NA NA NA NA NA
"414" NA "SNOWCRABSGSL" 0.38 NA NA NA NA NA NA NA
"415" 0.14 "SNOWGROUPSATLC" 0.15 NA 2091.7 15000 NA NA NA NA
"416" NA "SNROCKPCOAST" 0.048 NA 0.0398 1874 NA NA NA 0.16 
"417" 0.31 "SOLECS" 0.1 NA NA 1500 NA NA NA NA
"418" 0.38 "SOLEIIIa" 0.1 NA NA 1500 NA NA NA 0.284
"419" 0.16 "SOLEIS" 0.1 NA NA 1500 NA NA NA NA
"420" 0.22 "SOLENS" 0.1 NA NA 1500 NA NA NA 0.284
"421" 0.29 "SOLEVIId" 0.1 NA NA 1500 NA NA NA NA
"422" 0.27 "SOLEVIIe" 0.1 NA NA 1500 NA NA NA NA
"423" 0.26 "SOLEVIII" 0.1 NA NA 1500 NA NA NA NA
"424" NA "SOLEWASG1" NA NA NA NA NA NA NA NA
"425" NA "SOLEWASG3" NA NA NA NA NA NA NA NA
"426" NA "SOLMEDGSA17" 0.35 NA NA 620.99136 -0.5 NA NA 0.4
"427" NA "SOUTHHAKECH" NA NA NA NA NA NA NA NA
"428" NA "SOUTHHAKECR" NA 0.34 NA 18619 NA NA NA NA
"429" NA "SOUTHHAKESA" 0.19 0.47 20851.06383 18619 NA NA NA NA
"430" 0.36 "SPANMACKGM" NA NA NA 1756.16 -0.5 NA NA 0.61
"431" 0.69 "SPANMACKSATLC" 0.35 NA 9548 2945 NA NA NA NA
"432" NA "SPANMACKSETO" 0.3 NA NA NA NA NA NA NA
"433" NA "SPHAKECH" NA NA NA NA NA NA NA NA
"434" 0.35 "SPRAT22-32" NA NA NA 20 -1.46 NA NA 0.7
"435" NA "SPRATNS" 0.75 NA NA 20 NA NA NA 0.681
"436" NA "SPRBLKGSA29" NA NA NA NA NA NA NA NA
"437" NA "SPSDOGPCOAST" 0.064 NA NA 12985.96571 NA NA 35.5 0.03
"438" NA "SPSHRIMPWA" NA NA NA NA NA NA NA NA
"439" NA "SRAKEROCKBSAI" 0.03 NA NA 8100 NA NA NA NA
"440" NA "SSARDCH" NA NA NA NA NA NA NA NA
"441" NA "SSKAT5YZSNE" NA NA NA 1134.5 NA NA NA NA
"442" NA "SSLOBSTERSASC" 0.1 NA NA NA NA NA 9 NA
"443" NA "SSTHORNHPCOAST" 0.05 0.0184 3500 7049.69 2.5 NA NA 0.018
"444" NA "STFLOUNNPCOAST" 0.3 0.169 NA 4550 0.314 NA NA 0.32
"445" NA "STFLOUNSPCOAST" 0.3 NA 2329.411765 4550 0.314 NA NA 0.32
"446" NA "STMARLINNEPAC" 0.5 NA NA 207968.75 NA NA 2 0.25
"447" 0.283145994 "STMARLINNPAC" NA 0.3 17500 NA NA NA NA NA
"448" 0.226 "STMARLINSWPO" NA NA 7325.182365 NA NA NA NA NA
"449" 0.612 "STMARLINWCNPAC" NA 0.385750892 16717.68849 NA NA NA NA NA
"450" NA "STRIPEDBASSGOMCHATT" NA NA NA 28500 NA NA NA 0.12
"451" 0.15 "SURFMATLC" 0.15 NA 543000 NA 1.983 NA NA 0.178
"452" NA "SWHITSE" 0.5 NA NA 136.51919 -0.3 NA 3 0.513
"453" 0.15 "SWORDEPAC" NA NA 37503.66986 NA NA NA NA NA
"454" 0.14 "SWORDIO" NA 0.309709804 172160.8113 NA NA NA NA NA
"455" 0.26 "SWORDMED" NA NA 73711.99641 325000 NA NA NA NA
"456" 0.222 "SWORDNATL" NA NA 61835.60226 325000 NA NA NA NA
"457" 0.239 "SWORDNPAC" NA 0.304171449 NA NA NA NA NA NA
"458" 0.312 "SWORDSATL" NA NA 47525.74104 325000 NA NA NA NA
"459" 0.73 "TANNERCRABBSAI" NA NA NA NA NA NA NA NA
"460" 0.1 "TARAKNZ" 0.1 0.060962529 NA 863.50888 -0.5 NA NA 0.25
"461" NA "TASGIANTCRABTAS" NA NA NA NA NA NA NA NA
"462" NA "THREADWASG1" NA NA NA NA NA NA NA NA
"463" NA "THREADWASG2" NA NA NA NA NA NA NA NA
"464" NA "THREADWASG3" NA NA NA NA NA NA NA NA
"465" NA "TIGERFLATSE" 0.2 NA NA 4494.55096 -0.65 NA 4 0.178
"466" NA "TILEGM" 0.13 NA NA NA NA NA NA NA
"467" 0.37 "TILEMATLC" NA NA NA 15000 NA NA NA 0.2
"468" 0.043 "TILESATLC" NA 0.035 2611.4 15000 NA NA NA NA
"469" 0.113 "TREVALLYTRE7" 0.1 0.08041624 NA 986.75175061 -0.25 NA 5 0.28
"470" NA "TSKAT5YZSNE" NA NA NA 2125 NA NA NA NA
"471" NA "TURBLKGSA29" 0.19 NA NA NA NA NA NA NA
"472" 0.81 "VSNAPGM" NA NA NA 773.08776 -3.9 NA NA 0.2
"473" 0.386 "VSNAPSATLC" 0.22 0.228860606 3300 1295.54216 -3.5 NA NA 0.12
"474" NA "WAREHOUESE" NA 0.17 NA 4745.52 NA NA 3 NA
"475" NA "WAREHOUWSE" NA NA NA 4745.52 NA NA 3 NA
"476" NA "WEAKFISHATLC" 0.25 NA NA 4500 0.05 NA NA 0.3
"477" NA "WHAKE4VWX5" 0.2 0.048529043 NA 22373 0.061669398 NA 2.568 0.0815
"478" 0.13 "WHAKEGBGOM" 0.2 0.048529043 NA 22373 0.061669398 NA 2.568 0.0815
"479" 0.4 "WHITBLACK" NA NA NA NA NA NA NA NA
"480" NA "WHITBLKGSA29" 0.46 NA NA 318.55013 -1.2 NA NA 0.23
"481" NA "WHITNS-VIId" NA NA NA 1192 NA NA NA 0.323
"482" NA "WHITVIa" NA NA NA 1555 NA NA NA NA
"483" 0.36 "WHITVIIek" NA NA NA 1555 NA NA NA NA
"484" NA "WINDOWGOMGB" 0.2 0.5 1.4 477 NA NA NA NA
"485" NA "WINDOWSNEMATL" 0.2 1.47 0.34 477 NA NA NA NA
"486" 0.42 "WINFLOUN5Z" NA NA NA 1800 NA NA NA NA
"487" NA "WINFLOUND5Y" 0.2 NA NA 1176.49 0.07 NA 3.5 0.27
"488" 0.29 "WINFLOUNSNEMATL" 0.3 NA NA 1800 NA NA NA NA
"489" 0.2 "WITFLOUN5Y" 0.15 NA NA 1250 -0.02 NA NA 0.2
"490" 0.0941 "WMARLINATL" NA 0.110027394 19124.83023 NA NA NA NA NA
"491" 0.34 "WPOLLAI" NA NA NA 700 NA NA NA NA
"492" 0.543 "WPOLLEBS" NA NA NA 700 NA NA NA NA
"493" 0.285 "WPOLLGA" 0.3 NA NA 700 NA NA NA NA
"494" 0.235 "WPOLLNAVAR" NA NA 1570000 NA NA NA NA NA
"495" 0.295 "WPOLLNSO" NA NA 5100000 700 NA NA NA NA
"496" 0.126 "WPOLLWBS" NA NA NA 700 NA NA NA NA
"497" NA "WROCKPCOAST" 0.12 0.12 NA 1080 NA NA NA 0.2087
"498" NA "WSHRIMPGM" NA NA NA NA NA NA NA NA
"499" NA "WSKAT5YCHATT" NA NA NA 6655 NA NA NA NA
"500" 0.1 "YEGROUPGM" 0.07 NA NA NA NA NA NA NA
"501" 0.26 "YELL3LNO" 0.15 0.255776026 73580 750 NA NA NA 0.3
"502" 0.239 "YELLCCODGOM" 0.15 NA NA 750 NA NA 2 0.3
"503" 0.254 "YELLGB" 0.15 NA NA 750 NA NA 2 0.3
"504" 0.254 "YELLSNEMATL" 0.15 NA NA 750 NA NA 2 0.3
"505" NA "YEYEROCKPCOAST" 0.046 0.017 NA 8900 NA NA NA 0.047
"506" NA "YFINATL" NA NA 562543.5385 1e+05 NA NA NA NA
"507" 0.0949 "YFINCWPAC" NA 0.406702899 1141622.389 1e+05 NA NA NA NA
"508" NA "YFINEIO" NA NA 1269000 NA NA NA NA NA
"509" 1.13 "YFINEPAC" 1.25 0.740529866 354958 1e+05 NA NA NA NA
"510" NA "YNOSESKACH" NA NA NA NA NA NA NA NA
"511" 0.13 "YSOLEBSAI" 0.12 NA NA 540.10152 -0.111 NA 10.5 0.161
"512" NA "YTROCKNPCOAST" 0.11 0.126067997 NA 1255 NA NA NA 0.15
"513" 0.29 "YTSNAPSATLCGM" 0.19 NA NA 2360.29032 -3.1 NA NA 0.13
