"V1"
"1" 14313.6112421353
"2" 462192.868703231
"3" 764649.07497764
"4" 996778.761586847
"5" 1185911.0191162
"6" 1344822.70594912
"7" 1481860.61720663
"8" 1603211.81042696
"9" 1711344.96918656
"10" 1806783.4677618
"11" 1889505.91901386
"12" 1959294.70327708
"13" 2015638.08682579
"14" 2057438.32649524
"15" 2082530.46661247
"16" 2086568.20338951
"17" 2059723.29829413
"18" 1978766.95519168
"19" 1877963.11638845
"20" 1842742.22862375
"21" 1816317.89435347
"22" 1780672.50632675
"23" 1736625.60344374
"24" 1703306.47324251
"25" 1689272.31663883
"26" 1679358.66779113
"27" 1667935.16897706
"28" 1653899.68187419
"29" 1636497.87138883
"30" 1615038.92486502
"31" 1591930.0679713
"32" 1579603.41007899
"33" 1578729.16434842
"34" 1580072.60506718
"35" 1581505.7336722
"36" 1582866.90130038
"37" 1584153.54795333
"38" 1585371.24127755
"39" 1586525.35529416
"40" 1587620.73582637
"41" 1588661.7501256
"42" 1589652.34307551
"43" 1590596.0877191
"44" 1591496.22727168
"45" 1592355.7127793
"46" 1593177.23515447
"47" 1593963.25344776
"48" 1594716.01849148
"49" 1595437.59515392
"50" 1596129.88095778
