"V1" "V2" "V3" "V4" "V5" "V6"
"1" 597407.752289528 24395.5836869188 63110.4248425067 229663.718851322 24183.5898210535 3630629.1199388
"2" 392838.979635574 19231.0975000237 62980.3303119135 229022.795312253 24027.7118064192 3636581.47710253
"3" 274470.357565797 14960.1948967763 62899.7828533803 228690.579160858 23966.3349947099 3638925.39207461
"4" 199676.19406422 11466.6386815698 62844.0266240635 228441.981803847 23918.6482690389 3639401.94710722
"5" 149430.94048862 8589.7146596799 62804.7250245655 228240.976815755 23878.5308856772 3638718.83582285
"6" 114104.996097397 6216.23682852804 62776.6365729643 228068.546972917 23842.9084101309 3637264.31670868
"7" 88372.237073734 4272.14474002938 62756.1532405483 227914.73526801 23810.2896292995 3635307.24118537
"8" 69080.0321027639 2716.25517451188 62740.4476824631 227775.493809423 23780.310354636 3633097.62432817
"9" 54259.4893980572 1534.674909796 62726.9194098951 227651.342111554 23753.5597616896 3630926.97733614
"10" 42630.4682491713 726.165307023842 62712.928346384 227545.593488473 23731.2271988014 3629131.27468756
"11" 33343.2119311722 266.460960531955 62696.1679070233 227460.015467975 23714.0335562891 3627971.19223677
"12" 25832.0284622661 70.1134677346452 62675.8362729335 227390.275745602 23700.9711398594 3627433.18888041
"13" 19709.1767210169 12.5234147268537 62653.0847978525 227328.407242478 23689.8746489178 3627241.40538556
"14" 14686.2943339785 1.48507994405979 62629.463856767 227269.04090849 23679.2596576154 3627129.14414313
"15" 10539.2709875509 0.11672148611315 62605.6246571621 227210.126368333 23668.6505595169 3626980.1376256
"16" 629105.683864605 13.1412969935275 47160.5242485318 151581.695346168 24401.0016528851 3669401.94208361
"17" 410232.376416698 468.184743243451 47034.8940557597 151125.308840277 24304.187816445 3677729.13044485
"18" 279359.031147457 6046.7368936751 46890.2525314103 150972.482647206 24314.4788576953 3691786.53492883
"19" 198451.628858906 10759.180294637 46764.7172346114 150735.143230914 24273.402815851 3700439.64798259
"20" 148015.472548625 8833.13886193925 46722.6492141461 150560.817505843 24223.7124937119 3700607.72685417
"21" 112951.302296224 6499.82172353055 46697.2351225844 150420.874939851 24186.8627026278 3699216.98936104
"22" 87445.375367776 4522.74288132751 46678.6593880596 150297.708675046 24153.8288399156 3697244.30134554
"23" 68332.098057177 2923.58485382624 46664.0166659595 150186.521918111 24123.4098150696 3694991.27324035
"24" 53654.923882386 1692.73394606436 46651.1109454824 150086.619626879 24096.0120835674 3692738.01371224
"25" 42142.9611679997 830.510245857413 46637.7686162399 149999.813900136 24072.7635426201 3690809.18469458
"26" 32950.3164506023 320.649329483959 46622.047332443 149927.702836719 24054.5437437029 3689483.93675648
"27" 25512.2056040367 90.0018223206892 46603.1490625039 149868.136691158 24040.650663679 3688799.2457979
"28" 19444.0346460657 17.3014855850065 46581.922551506 149815.70859252 24028.9937082865 3688509.11963844
"29" 14463.1379803057 2.21688303779049 46559.7105014947 149766.009176468 24017.9249055627 3688331.48881514
"30" 10350.047763762 0.188564948859576 46537.1502541375 149717.037697139 24006.866241965 3688127.6551805
"31" 628455.647247291 21.9927896260155 36777.018010681 108199.402194234 24608.8900491465 3705983.05144844
"32" 408832.946033879 799.985546415853 36664.7359672832 107818.3533265 24514.8667754096 3714909.03593053
"33" 276542.508302853 8316.64810203319 36515.7722758096 107659.868722297 24534.4530106475 3731127.52299044
"34" 197348.101040589 11435.3264220888 36422.7650052738 107450.340576933 24473.6929407162 3737363.40058885
"35" 147321.398856873 9079.74784594429 36387.9358932335 107307.355330927 24426.0872668107 3737125.04663802
"36" 112404.675842148 6685.0364024849 36364.7320274332 107190.1704453 24389.336383871 3735677.71267417
"37" 87002.500122339 4679.0071546213 36347.2446251161 107087.528534187 24356.1169573711 3733682.23383065
"38" 67971.3869139313 3052.96310983984 36333.1847687008 106995.204504385 24325.4410105411 3731400.60587232
"39" 53361.6067334321 1792.75731258385 36320.6870725711 106912.092576815 24297.6624486397 3729097.73109965
"40" 41905.9796905456 898.288508815931 36307.899786781 106839.237103196 24273.8678292162 3727089.22920235
"41" 32759.7494391439 357.327886061033 36293.1476025161 106777.935747638 24255.0140939293 3725662.40980279
"42" 25357.7363072972 104.234909780116 36275.6694066953 106726.954861135 24240.5844620675 3724883.64790459
"43" 19316.2877902948 20.9482205003653 36256.1028654704 106682.319378096 24228.5594861499 3724528.43553708
"44" 14355.5925119737 2.81399914935255 36235.5944447303 106640.374252021 24217.1983981088 3724307.763319
"45" 10258.7521160823 0.251218071356183 36214.7297531614 106599.287021289 24205.8515735592 3724068.44885636
"46" 629364.3352089 30.0144282620052 29533.8461880829 81027.4751499462 24745.6515858308 3729616.01059626
"47" 408566.470381539 1102.9881762954 29428.9141680723 80697.2033525386 24654.8879130676 3739135.41892346
"48" 275282.362100211 9730.6104737161 29285.2953910075 80538.6043031123 24674.8654428857 3756296.02947965
"49" 196991.737855289 11775.3070572732 29210.838834713 80361.841747682 24605.7607985246 3761214.95907121
"50" 147086.21014327 9236.71029563253 29179.3353584426 80239.1314542629 24559.2533243087 3760816.39592667
"51" 112206.908288913 6811.60236303245 29157.344545488 80138.0576080478 24522.4558502165 3759343.38466479
"52" 86835.6350716215 4787.47211895603 29140.4769431379 80049.9208769279 24489.0816302151 3757332.66929192
"53" 67832.431211849 3143.56446853218 29126.7508518223 79970.8905478461 24458.2136670526 3755029.69022875
"54" 53247.8607744472 1863.56620398225 29114.5242766129 79899.7391251913 24430.1636884637 3752690.91820134
"55" 41814.8942704929 947.084651270276 29102.1878610151 79837.1251630085 24405.9868950262 3750626.23026681
"56" 32688.1397191684 384.42687309346 29088.2821408132 79784.1494793678 24386.6865358974 3749127.96474252
"57" 25301.2004083885 115.129204137878 29072.094922322 79740.0603390306 24371.8722615997 3748282.32424533
"58" 19270.3182684036 23.8577955835884 29054.1027355509 79701.7401412484 24359.5834198072 3747880.7535472
"59" 14317.132936962 3.31161770806385 29035.2717525343 79666.0433606084 24348.0176394611 3747630.24278183
"60" 10226.1882504604 0.305757644116098 29016.1208065139 79631.2779586107 24336.4707092831 3747367.0267488
"61" 631276.142086692 37.2006794871688 24199.8779319741 62661.699048159 24842.2596206635 3745759.71924546
"62" 409052.45142658 1374.4272521115 24099.8237614297 62369.6889782588 24754.5709126429 3755837.2613482
