"V1" "V2" "V3" "V4" "V5" "V6"
"1" 2180055.68124092 11558.7998892774 84629.9694906825 260443.18943683 18398.3966020541 1549105.9625891
"2" 1685297.78077616 6971.73162597263 96727.7565503267 236870.115091713 11188.567543108 1274334.60934632
"3" 1448791.09100649 3971.6953081131 104084.332964287 211194.405043838 6737.12840323606 1041976.84253461
"4" 1313011.04566997 2110.4862466644 107309.086322722 185546.354769822 3966.97175308719 847842.548302648
"5" 1227226.20209355 997.94657350454 107241.51994112 161148.503004057 2239.35949003486 686370.998475855
"6" 1170353.47088254 381.434953188269 104671.874105658 138595.561478093 1171.47424129912 552560.479783757
"7" 1131750.76749596 104.009719079411 100256.485189208 118152.08675475 536.658858589512 442244.49086337
"8" 1105580.92148579 19.4032215809076 94527.6516218935 99896.4748204364 199.267149652131 351755.774018137
"9" 1089028.11586004 2.7141911404936 87926.9713261813 83785.8929693987 56.5176238198937 277724.176483214
"10" 1080717.20789557 0.319707398398604 80820.8801236444 69716.1993886822 12.3797326288669 217278.821003668
"11" 1079882.48138687 0.0341564590703423 73510.0266083591 57550.3644257602 2.23397969805877 168058.397337135
"12" 1086078.9846893 0.00344812701128206 66238.9435292572 47132.9209269171 0.353814446853993 128129.474190986
"13" 1099180.795188 0.000337086106634372 59210.6762498732 38302.3117819379 0.0512477007657965 95883.5883813098
"14" 1119518.53152911 3.24855062769885e-05 52602.6033856808 30901.6413921191 0.00695390273643518 69958.4357294747
"15" 1148185.10212946 3.13870026785326e-06 46586.8184899994 24789.5257372854 0.000897506139424608 49178.551097292
"16" 1187827.95273353 3.10583349563798e-07 41373.6287710808 19858.0185816211 0.000111528367896787 32491.6766981583
"17" 1245107.58629114 3.25645668868925e-08 37344.252341533 16079.6818291 1.35243147053205e-05 18868.0119295661
"18" 1336548.7124193 3.78269272081156e-09 35256.2999966967 13534.939738558 1.61629252906978e-06 7479.19983976826
"19" 1436670.5884937 4.29936721431731e-10 32619.4262926946 11046.7184843649 1.78220686543619e-07 1105.81104106481
"20" 1479352.3813528 3.75036963009336e-11 26145.0863231649 7503.53724482766 1.645497742843e-08 69.9582076691471
"21" 1507580.18539215 2.82841923712656e-12 20033.3472115003 4492.14000352384 1.36282482184067e-09 3.08499452752559
"22" 1536433.57105866 2.04289535801487e-13 15202.7624947634 2276.25130329081 1.07908994793069e-10 0.114308834581922
"23" 1565725.0879463 1.45475494325247e-14 11431.3712523703 795.10797534267 8.40411107703518e-12 0.00395790361402721
"24" 1586071.24819283 1.02193982715108e-15 8427.56051747088 139.588187245896 6.59477905048243e-13 0.000150719526361108
"25" 1594606.61565647 7.13409074326595e-17 6061.33345619023 12.7872135159036 5.30940355523268e-14 6.76556617968476e-06
"26" 1599684.38699177 5.04467021175832e-18 4263.3808861153 0.853314144260615 4.40559385909267e-15 3.37251902006339e-07
"27" 1604588.74652208 3.65736533502263e-19 2912.98005482372 0.0505461673180867 3.77722911923991e-16 1.77971285525535e-08
"28" 1610032.6914488 2.733607741047e-20 1899.40291218256 0.00286890906712182 3.35752430539416e-17 1.02785705242456e-09
"29" 1616429.40076392 2.11179056588592e-21 1137.91178901273 0.000161132399892417 3.10436267179741e-18 6.21196788858212e-11
"30" 1624068.20752847 1.68692822355505e-22 569.307567748871 9.09730026374718e-06 3.00082754179636e-19 3.89844581836546e-12
"31" 1631661.50839348 1.38930035885705e-23 183.967169064417 5.20748092005589e-07 3.06550915340896e-20 2.62417258348659e-13
"32" 1633886.89710422 1.17317850158141e-24 26.5017073819137 3.04464227178258e-08 3.3761011304121e-21 2.03142686727339e-14
"33" 1630914.83802231 1.01706453123846e-25 1.91833502328991 1.83043680523636e-09 4.08336558237348e-22 1.81229366708167e-15
"34" 1627001.34356851 9.10270521208321e-27 0.104260836710456 1.13546156129789e-10 5.5048661029332e-23 1.76257074190708e-16
"35" 1623212.36354635 8.43251595429078e-28 0.00517443458701979 7.27877801981554e-12 8.38799881409474e-24 1.81647471037804e-17
"36" 1619629.68806819 8.09024061996216e-29 0.000251185820377954 4.82463888369901e-13 1.45002518107042e-24 1.966539533729e-18
"37" 1616242.47205505 8.03798862174949e-30 1.22598225086344e-05 3.30707833717337e-14 2.81056156789308e-25 2.23530445401667e-19
"38" 1613035.48008015 8.26781663959589e-31 6.09502288872456e-07 2.34388824308123e-15 5.97369746449638e-26 2.68627502359673e-20
"39" 1609994.7286744 8.80123872016835e-32 3.10755395406536e-08 1.7171716020498e-16 1.36006507425344e-26 3.47802850194295e-21
"40" 1607107.62633036 9.69302734009103e-33 1.6311284078888e-09 1.29995350460907e-17 3.25310156301549e-27 5.01962934485526e-22
"41" 1604362.82051511 1.10412325131714e-33 8.8333647106928e-11 1.01650797397966e-18 8.06005886261402e-28 8.46581128652463e-23
"42" 1601750.04945175 1.30052289328285e-34 4.94152273105097e-12 8.20683277091735e-20 2.05000445656584e-28 1.72863076444345e-23
"43" 1599260.01487317 1.58379115541769e-35 2.85720682860127e-13 6.83796967640051e-21 5.32264965691612e-29 4.22637534805127e-24
"44" 1596884.27084239 1.99399402845978e-36 1.70792401370861e-14 5.87720857580401e-22 1.40542797593491e-29 1.1766956370816e-24
"45" 1594615.1287891 2.59534101808931e-37 1.05541550475041e-15 5.20852240185414e-23 3.76475703782594e-30 3.54078905053642e-25
"46" 1592445.57439898 3.49244177662584e-38 6.74082158992176e-17 4.75739744852754e-24 1.02138912105703e-30 1.11225018586649e-25
"47" 1590369.1955496 4.85909672589122e-39 4.44816627009266e-18 4.47667519713046e-25 2.80349809486716e-31 3.58105710175865e-26
"48" 1588380.1183293 6.99001158675092e-40 3.03152439726166e-19 4.33810810419133e-26 7.77738362481716e-32 1.17033035816599e-26
"49" 1586472.95240329 1.03958718081406e-40 2.1328127972183e-20 4.32755035397129e-27 2.17914767912876e-32 3.8649355211681e-27
"50" 1584642.74209649 1.59808753021103e-41 1.54824620617697e-21 4.44255196646401e-28 6.16336225186557e-33 1.28725179722837e-27
